Method,Categories,Mean (ms),Error (ms),StdDev (ms),Field Count,Query Type,Field Types,Search Type
Media_Req_Six_BuildUpon,"media,six,req,buildupon",4768.32,28.002,31.124,6,media,req,buildupon
Media_Req_Seven_BuildUpon,"media,seven,req,buildupon",5562.17,23.576,22.053,7,media,req,buildupon
Media_Req_Eight_BuildUpon,"media,eight,req,buildupon",6349.26,38.729,34.332,8,media,req,buildupon
Media_Req_One_LongString,"media,one,req,longstring",788.18,15.049,16.103,1,media,req,longstring
Media_Req_Two_LongString,"media,two,req,longstring",1495.01,23.979,22.43,2,media,req,longstring
Media_Req_Three_LongString,"media,three,req,longstring",2302.09,25.007,23.391,3,media,req,longstring
Media_Req_Four_LongString,"media,four,req,longstring",3103.4,37.123,34.725,4,media,req,longstring
Media_Req_Five_LongString,"media,five,req,longstring",3883.2,32.367,30.276,5,media,req,longstring
Media_Req_Six_LongString,"media,six,req,longstring",4653.89,28.036,26.225,6,media,req,longstring
Media_Req_Seven_LongString,"media,seven,req,longstring",5442.41,43.416,40.612,7,media,req,longstring
Media_Req_Eight_LongString,"media,eight,req,longstring",6242.26,41.579,36.859,8,media,req,longstring
Media_Req_One,"media,one,req",153.63,3.046,4.37,1,media,req,normal
Media_Req_Two,"media,two,req",1721.58,11.659,10.34,2,media,req,normal
Media_Req_Three,"media,three,req",2572.17,19.979,17.71,3,media,req,normal
Media_Req_Four,"media,four,req",3409.05,26.122,24.44,4,media,req,normal
Media_Req_Five,"media,five,req",4234.82,10.756,8.98,5,media,req,normal
Media_Req_Six,"media,six,req",5221.28,95.834,89.64,6,media,req,normal
Media_Req_Seven,"media,seven,req",6009.03,16.013,14.98,7,media,req,normal
Media_Req_Eight,"media,eight,req",6827.4,19.107,17.87,8,media,req,normal
Media_Req_One_ShortString,"media,one,req,shortstring",795.91,11.162,9.895,1,media,req,shortstring
Media_Req_Two_ShortString,"media,two,req,shortstring",1611.8,28.309,26.48,2,media,req,shortstring
Media_Req_Three_ShortString,"media,three,req,shortstring",2409.65,33.803,31.62,3,media,req,shortstring
Media_Req_Four_ShortString,"media,four,req,shortstring",3189.39,15.443,13.69,4,media,req,shortstring
Media_Req_Five_ShortString,"media,five,req,shortstring",4040.11,66.571,99.64,5,media,req,shortstring
Media_Req_Six_ShortString,"media,six,req,shortstring",4728.36,23.233,20.595,6,media,req,shortstring
Media_Req_Seven_ShortString,"media,seven,req,shortstring",5449.51,9.016,7.992,7,media,req,shortstring
Media_Req_Eight_ShortString,"media,eight,req,shortstring",5960.9,34.14,30.264,8,media,req,shortstring
